	class
1	5
2	5
3	1
4	1
5	1
6	5
7	1
8	5
9	6
10	1
11	6
12	1
13	5
14	1
15	1
16	5
17	0
18	1
19	5
20	5
21	1
22	6
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	5
31	5
32	0
33	1
34	5
35	0
36	1
37	1
38	6
39	6
40	5
41	5
42	0
43	6
44	5
45	5
46	0
47	1
48	1
49	1
50	5
51	0
52	5
53	1
54	5
55	0
56	6
57	5
58	1
59	1
60	1
61	1
62	5
63	1
64	6
65	1
66	1
67	1
68	5
69	5
70	6
71	1
72	5
73	1
74	1
75	1
76	1
77	1
78	6
79	1
80	1
81	6
82	1
83	6
84	5
