	class
1	1
2	1
3	1
4	1
5	6
6	6
7	1
8	1
9	1
10	6
11	1
12	5
13	1
14	1
15	5
16	1
17	0
18	1
19	1
20	6
21	1
22	0
23	1
24	1
25	6
26	1
27	5
28	6
29	1
30	0
31	6
32	5
33	0
34	5
35	6
36	5
37	5
38	1
39	1
40	0
41	5
42	1
43	1
44	6
45	1
46	0
47	6
48	1
49	1
50	5
51	1
52	1
53	1
54	5
55	1
56	5
57	1
58	1
59	5
60	6
61	1
62	1
63	1
64	5
65	6
66	6
67	1
68	1
69	1
70	0
71	6
72	1
73	6
74	5
75	6
76	1
77	1
78	1
79	1
80	1
81	1
82	6
83	6
84	1
85	1
86	1
87	1
88	5
89	6
90	1
91	1
92	1
93	1
94	5
95	1
96	6
97	1
