	class
1	1
2	6
3	6
4	1
5	1
6	6
7	1
8	6
9	1
10	6
11	1
12	1
13	5
14	1
15	5
16	1
17	1
18	1
19	5
20	1
21	5
22	1
23	5
24	1
25	1
26	5
27	1
28	1
29	5
30	5
31	6
32	1
33	1
34	5
35	1
36	5
37	1
38	1
39	1
40	1
41	1
42	6
43	5
44	1
45	1
46	1
47	6
48	1
49	1
50	6
51	1
52	1
53	1
54	5
55	1
56	6
57	1
58	5
59	1
60	1
61	6
62	1
63	5
64	1
65	1
66	1
67	1
68	5
69	1
70	1
71	1
72	6
73	5
74	1
75	1
76	1
77	1
78	1
79	5
80	5
81	1
82	0
83	5
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
