	class
1	1
2	1
3	1
4	1
5	1
6	6
7	5
8	6
9	1
10	5
11	1
12	1
13	1
14	6
15	1
16	1
17	1
18	1
19	1
20	6
21	1
22	5
23	1
24	6
25	5
26	5
27	5
28	6
29	5
30	1
31	5
32	6
33	1
34	1
35	1
36	1
37	5
38	1
39	1
40	5
41	1
42	0
43	5
44	5
45	1
46	1
47	1
48	6
49	1
50	6
51	1
52	6
53	5
54	6
55	1
56	5
57	1
58	5
59	1
60	6
61	1
62	1
63	5
64	1
65	1
66	1
67	1
68	6
69	5
70	6
71	5
72	5
73	5
74	6
75	6
76	1
77	1
78	6
79	1
80	1
81	1
82	1
83	6
84	5
85	1
86	1
87	1
88	1
89	6
90	1
91	1
92	1
93	6
