	class
1	1
2	1
3	1
4	5
5	1
6	1
7	5
8	6
9	1
10	1
11	6
12	6
13	6
14	1
15	6
16	6
17	5
18	1
19	1
20	1
21	6
22	6
23	5
24	1
25	1
26	1
27	6
28	1
29	1
30	1
31	5
32	1
33	6
34	6
35	6
36	5
37	1
38	6
39	1
40	6
41	1
42	5
43	1
44	1
45	1
46	1
47	5
48	1
49	6
50	1
51	1
52	5
53	1
54	6
55	5
56	1
57	1
58	1
59	5
60	1
61	0
62	1
63	1
64	1
65	1
66	1
67	6
68	1
69	5
70	1
71	1
72	5
73	1
74	5
75	1
76	1
77	1
78	1
79	5
80	1
81	1
82	5
83	6
84	1
85	1
86	6
87	6
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
