	class
1	1
2	6
3	1
4	5
5	6
6	1
7	1
8	6
9	1
10	6
11	1
12	1
13	1
14	1
15	1
16	6
17	1
18	1
19	5
20	1
21	1
22	5
23	1
24	5
25	6
26	1
27	1
28	1
29	1
30	5
31	6
32	1
33	6
34	6
35	1
36	1
37	1
38	1
39	5
40	1
41	1
42	6
43	1
44	1
45	6
46	1
47	1
48	1
49	1
50	1
51	6
52	1
53	1
54	1
55	6
56	6
57	1
58	1
59	5
60	6
61	1
62	1
63	1
64	1
65	1
66	5
67	1
68	6
69	1
70	1
71	6
72	1
73	1
74	6
75	1
76	6
77	1
78	1
79	1
80	1
81	6
82	1
83	1
84	1
85	6
86	1
87	1
88	5
89	6
90	1
