	class
1	1
2	1
3	1
4	1
5	6
6	6
7	5
8	6
9	0
10	1
11	6
12	1
13	5
14	1
15	1
16	6
17	1
18	1
19	6
20	1
21	6
22	5
23	0
24	6
25	5
26	1
27	1
28	5
29	1
30	5
31	5
32	6
33	6
34	1
35	5
36	5
37	6
38	0
39	1
40	5
41	5
42	6
43	1
44	5
45	1
46	1
47	6
48	0
49	1
50	1
51	5
52	6
53	5
54	5
55	1
56	0
57	6
58	6
59	5
60	5
61	6
62	0
63	1
64	1
65	1
66	0
67	1
68	5
69	6
70	0
71	6
72	6
73	1
74	5
75	1
76	1
77	1
78	5
79	5
80	6
81	0
82	6
83	0
84	1
85	1
86	6
87	1
88	1
89	1
90	6
91	6
