	class
1	1
2	1
3	6
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	5
14	1
15	1
16	6
17	6
18	5
19	5
20	1
21	1
22	1
23	1
24	1
25	6
26	0
27	6
28	0
29	1
30	5
31	6
32	5
33	6
34	6
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	6
44	5
45	6
46	0
47	1
48	1
49	6
50	6
51	6
52	5
53	1
54	6
55	1
56	1
57	1
58	6
59	1
60	5
61	1
62	1
63	0
64	6
65	1
66	6
67	1
68	1
69	1
70	1
71	6
72	1
73	1
74	1
75	6
76	1
77	6
78	1
79	6
80	0
81	6
82	0
83	5
84	1
85	5
86	1
87	6
88	6
89	6
90	0
91	6
92	0
93	5
94	6
95	1
96	1
97	1
98	1
99	5
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	6
108	1
109	1
110	6
111	1
112	1
113	1
114	1
115	1
116	6
117	5
118	0
119	1
120	5
121	1
122	0
123	6
124	6
125	1
