	class
1	1
2	1
3	6
4	5
5	1
6	1
7	1
8	1
9	1
10	6
11	6
12	5
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	5
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	6
30	1
31	1
32	1
33	6
34	1
35	5
36	1
37	1
38	6
39	5
40	1
41	1
42	1
43	1
44	5
45	6
46	6
47	6
48	6
49	5
50	0
51	1
52	1
53	5
54	1
55	1
56	6
57	1
58	6
59	6
60	5
61	0
62	6
63	6
64	0
65	1
66	1
67	0
68	1
69	5
70	1
71	1
72	1
73	5
74	1
75	1
76	1
77	6
78	1
79	6
80	5
81	1
82	1
83	1
84	1
85	5
86	1
87	1
88	1
89	6
90	1
91	1
92	6
93	0
94	1
95	5
96	1
97	1
98	5
99	1
100	5
101	1
102	5
103	1
104	1
105	1
106	1
