	class
1	1
2	6
3	5
4	1
5	5
6	1
7	5
8	6
9	1
10	1
11	6
12	5
13	1
14	1
15	1
16	6
17	5
18	6
19	1
20	6
21	6
22	6
23	5
24	1
25	5
26	6
27	1
28	1
29	1
30	0
31	6
32	6
33	5
34	1
35	5
36	6
37	1
38	1
39	5
40	1
41	0
42	5
43	5
44	1
45	1
46	5
47	1
48	1
49	5
50	1
51	1
52	5
53	5
54	1
55	1
56	1
57	5
58	1
59	1
60	1
61	6
62	1
63	1
64	5
65	1
66	5
67	6
68	1
69	5
70	1
71	1
72	0
73	5
74	1
75	5
76	5
77	1
78	0
79	5
80	1
81	1
82	1
83	5
84	1
85	5
86	1
87	1
88	6
89	5
90	1
91	6
92	1
93	6
94	1
95	1
96	1
97	1
98	1
99	5
100	1
101	1
102	6
103	1
104	5
105	1
