	class
1	1
2	1
3	6
4	6
5	6
6	6
7	5
8	1
9	1
10	5
11	6
12	6
13	6
14	6
15	6
16	5
17	0
18	5
19	0
20	1
21	5
22	6
23	1
24	1
25	1
26	6
27	1
28	6
29	5
30	6
31	0
32	5
33	6
34	0
35	1
36	6
37	1
38	1
39	5
40	0
41	1
42	6
43	0
44	1
45	5
46	6
47	6
48	1
49	1
50	6
51	1
52	5
53	5
54	6
55	6
56	1
57	6
58	1
59	1
60	1
61	5
62	6
63	0
64	5
65	1
66	1
67	1
68	1
69	1
70	6
71	1
72	1
73	5
74	5
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	5
87	5
88	1
89	1
90	1
91	6
92	5
93	1
94	1
95	1
96	1
97	1
98	1
99	6
100	6
101	1
