	class
1	1
2	1
3	5
4	6
5	5
6	1
7	1
8	1
9	5
10	1
11	0
12	5
13	6
14	5
15	1
16	0
17	5
18	6
19	5
20	6
21	5
22	6
23	1
24	6
25	6
26	5
27	6
28	1
29	1
30	1
31	1
32	1
33	0
34	5
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	6
44	1
45	1
46	1
47	1
48	6
49	6
50	5
51	6
52	1
53	1
54	5
55	6
56	1
57	0
58	5
59	1
60	1
61	5
62	1
63	1
64	1
65	5
66	1
67	0
68	5
69	1
70	5
71	1
72	5
73	1
74	5
75	1
76	5
77	6
78	5
79	1
80	1
81	1
82	5
83	5
84	1
85	5
86	1
87	1
88	6
89	1
90	1
91	6
92	1
93	5
94	6
95	1
96	1
97	1
98	1
99	0
100	5
101	1
102	1
103	1
104	1
105	6
106	1
107	6
108	1
109	1
110	5
111	1
