	class
1	1
2	1
3	1
4	5
5	6
6	6
7	1
8	5
9	6
10	6
11	6
12	5
13	5
14	5
15	5
16	6
17	6
18	6
19	1
20	1
21	1
22	6
23	6
24	5
25	6
26	1
27	5
28	6
29	1
30	0
31	6
32	5
33	6
34	5
35	5
36	6
37	0
38	6
39	5
40	5
41	6
42	1
43	5
44	6
45	5
46	6
47	5
48	6
49	6
50	5
51	6
52	5
53	5
54	5
55	1
56	5
57	6
58	5
59	6
60	6
61	5
62	6
63	0
64	1
65	6
66	5
67	6
68	1
69	1
70	6
71	1
72	6
73	5
74	6
75	0
76	6
77	0
78	6
79	1
80	0
81	6
82	1
83	6
84	1
