	class
1	1
2	1
3	1
4	1
5	5
6	1
7	6
8	6
9	0
10	1
11	5
12	5
13	1
14	6
15	1
16	6
17	5
18	6
19	1
20	5
21	6
22	5
23	6
24	6
25	1
26	1
27	6
28	5
29	5
30	1
31	6
32	6
33	5
34	0
35	6
36	6
37	5
38	6
39	1
40	6
41	1
42	5
43	1
44	1
45	6
46	5
47	6
48	5
49	5
50	5
51	6
52	6
53	5
54	6
55	1
56	5
57	6
58	5
59	6
60	1
61	6
62	5
63	5
64	6
65	0
66	5
67	0
68	1
69	5
70	6
71	5
72	1
73	1
74	6
75	1
76	5
77	6
78	1
79	6
80	1
81	5
82	6
83	1
84	6
85	6
86	0
87	1
88	6
