	class
1	1
2	5
3	1
4	1
5	6
6	6
7	5
8	1
9	1
10	6
11	6
12	5
13	6
14	1
15	5
16	1
17	1
18	6
19	1
20	6
21	0
22	6
23	5
24	5
25	1
26	1
27	1
28	5
29	6
30	6
31	1
32	1
33	1
34	1
35	5
36	5
37	5
38	5
39	0
40	5
41	5
42	5
43	1
44	5
45	5
46	1
47	6
48	6
49	5
50	1
51	5
52	6
53	1
54	6
55	1
56	1
57	0
58	1
59	6
60	0
61	5
62	1
63	5
64	0
65	5
66	0
67	5
68	1
69	1
70	5
71	1
72	5
73	1
74	5
75	0
76	1
77	6
78	5
79	6
80	6
81	5
82	1
83	6
84	1
85	6
86	1
87	6
88	5
89	6
90	6
91	5
92	1
93	5
94	6
95	1
