	class
1	1
2	1
3	6
4	5
5	1
6	1
7	1
8	5
9	1
10	1
11	6
12	1
13	1
14	1
15	6
16	0
17	5
18	5
19	6
20	5
21	6
22	1
23	5
24	0
25	1
26	6
27	6
28	6
29	1
30	1
31	1
32	1
33	1
34	6
35	5
36	6
37	0
38	5
39	6
40	1
41	5
42	6
43	0
44	1
45	5
46	1
47	1
48	6
49	6
50	5
51	1
52	1
53	5
54	6
55	5
56	6
57	1
58	1
59	5
60	1
61	5
62	6
63	5
64	6
65	1
66	5
67	1
68	6
69	6
70	0
71	6
72	0
73	1
74	1
75	6
76	5
77	6
78	1
79	0
80	1
81	1
82	1
83	5
84	1
