6	现在有4位同学都想把自己的想法与大家分享我们一起去听听吧
5	请你比较一下左边的加法算式和右边的乘法算式你有什么感觉吗
1	为了交流方便老师把米尺搬到了大屏幕上在这里老师要提醒同学们屏幕上的米尺和实际的长度不一样我们要以米尺实际长度为准
5	让我们先来看看第一题请同学们观察这4幅作品你和谁的一样
1	同学们你们看在小朋友的心中数学是如此的丰富多彩
6	请同学们拿出学习任务单用自己喜欢的方法写一写算一算吧
5	同学们刚才你们在用身上的尺子测量物体的长度时我发现有同学用假粮有的同学用妥良谁能说说我们应该怎样选择身上的尺子呢
1	照你这样说千万位升到10个珠子就可以表示一亿了那么千万位的前一位就是亿位
2	没错门的宽度是80厘米这样爸爸就知道该买什么尺寸的木门了
6	小海观察了图片用数一数的方法解决了问题再看看朵朵同学是怎么思考的
5	豆豆用爪量完之后这一段是两盏那么这棵大树有一坨凉渣那么粗看似问题解决了可是新的问题又来了怎么才能知道这一坨两爪到底是多少厘米呢
0	文文借助以前学过的图形知识来说明乘法分配率同样适用于小数真是个好方法
6	下面我们就研究小数乘整数怎么计算为什么这样算
5	同学们根据上面的信息你能提出什么数学问题呢
1	这节课我们不仅掌握了大数改写的方法还明白了改写的道理发现了大数改写时是把大数变成了以万和亿为单位的数而它的大小是不变的
5	其实你们知道吗在中国古代的数学名著9章算术中也有分数乘法的内容那你们知道我国古人是如何计算分数乘法的吗
1	佳佳发现65.6大约是估算结果的10倍可能是小数点位置点错了
1	听了东东的发言苗苗说我现在明白了1/5×2/3就是求1/5的2/3是多少先找到单位1的1/5再把它平均分成三份表示这样的两份就是1/5的2/3相当于把单位一平均分成5成3份也就是15份表示这样的1×2份也就是两份就是单位一的2/15
5	军军说的对吗请你们说说是怎么知道的
1	我用分级的方法检查一下确实是对的
5	同学们你们知道小方小亮喝了多少毫升的矿泉水吗
2	噢他认为数学就是数数
1	今天的课就上到这里同学们再见
1	匆匆说横式和竖式都可以记录两位数乘一位数的计算过程我还想去研究三位数4位数乘1位数的竖式
1	用一个长方形表示全部路程平均分成10份每份就表示全程的1/10三分钟就会走三个1/10三个1/103/10所以1/10×3=3/10也就是说小明三分钟可以行全程的3/10
0	这真是一个好问题
1	琴琴说估算能帮我们分析解决很多问题比如计算出结果之后可以用估算的方法进行检查
1	在开始上课前请准备好课上测量所需要的物品如直尺四点回星针准备不齐也没有关系课上我们和同学们一起观察和思考
5	乐乐带了10.5元想买0.5千克苹果和0.5千克橘子文文想买橘子和香蕉各1.5千克同学们提出了什么问题
